experiment,case_type,rank,image_path,label,ood_type,score,threshold,margin,prediction,scores_file
autoencoder_baseline,tp,1,images/dissertation_v1/ood/modality_shift/colour_fundus/colour_fundus_000141.png,1,modality_shift,0.1079951599240303,0.0017387918487656,0.1062563680752647,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,tp,2,images/dissertation_v1/ood/modality_shift/colour_fundus/colour_fundus_000150.png,1,modality_shift,0.1051211357116699,0.0017387918487656,0.10338234386290429,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,tp,3,images/dissertation_v1/ood/modality_shift/colour_fundus/colour_fundus_000155.png,1,modality_shift,0.1050514578819274,0.0017387918487656,0.10331266603316179,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,tp,4,images/dissertation_v1/ood/modality_shift/colour_fundus/colour_fundus_000123.png,1,modality_shift,0.0990694239735603,0.0017387918487656,0.0973306321247947,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,tp,5,images/dissertation_v1/ood/modality_shift/colour_fundus/colour_fundus_000182.png,1,modality_shift,0.0974477156996727,0.0017387918487656,0.0957089238509071,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,fp,1,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000129.png,0,id,0.0031266910955309,0.0017387918487656,0.0013878992467653,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,fp,2,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000064.png,0,id,0.0020112283527851,0.0017387918487656,0.0002724365040195,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,fp,3,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000071.png,0,id,0.0018858729163184,0.0017387918487656,0.00014708106755280002,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,fp,4,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000124.png,0,id,0.0017756707966327,0.0017387918487656,3.687894786709987e-05,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,fn,1,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000114_04_blur_artifact.png,1,sensory_artifact,2.5192810426233336e-05,0.0017387918487656,-0.0017135990383393667,0,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,fn,2,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000134_04_blur_artifact.png,1,sensory_artifact,2.564619899203535e-05,0.0017387918487656,-0.0017131456497735647,0,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,fn,3,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000106_04_blur_artifact.png,1,sensory_artifact,2.7008893084712327e-05,0.0017387918487656,-0.0017117829556808877,0,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,fn,4,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000146_04_blur_artifact.png,1,sensory_artifact,3.025851219717879e-05,0.0017387918487656,-0.0017085333365684213,0,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,fn,5,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000000_04_blur_artifact.png,1,sensory_artifact,3.194752207491547e-05,0.0017387918487656,-0.0017068443266906846,0,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,borderline,1,images/dissertation_v1/ood/modality_shift/oct_screenshot/oct_screenshot_000073.png,1,modality_shift,0.0017386401304975,0.0017387918487656,-1.5171826810004597e-07,0,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,borderline,2,images/dissertation_v1/ood/sensory_artifact/gaussian_noise/artifact_000034_06_gaussian_noise.png,1,sensory_artifact,0.0017382648074999,0.0017387918487656,-5.270412657000078e-07,0,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,borderline,3,images/dissertation_v1/ood/modality_shift/oct_screenshot/oct_screenshot_000091.png,1,modality_shift,0.0017415096517652,0.0017387918487656,2.717802999599927e-06,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,borderline,4,images/dissertation_v1/ood/modality_shift/oct_screenshot/oct_screenshot_000016.png,1,modality_shift,0.0017450345912948,0.0017387918487656,6.242742529199855e-06,1,runs/autoencoder_baseline/evaluation/scores.csv
autoencoder_baseline,borderline,5,images/dissertation_v1/ood/modality_shift/oct_screenshot/oct_screenshot_000078.png,1,modality_shift,0.0017452631145715,0.0017387918487656,6.471265805899941e-06,1,runs/autoencoder_baseline/evaluation/scores.csv
patchcore_layer2,tp,1,images/dissertation_v1/ood/sensory_artifact/rectangle_annotation/artifact_000003_01_rectangle_annotation.png,1,sensory_artifact,68.75320434570312,32.97853279113769,35.77467155456544,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,tp,2,images/dissertation_v1/ood/sensory_artifact/border_crop/artifact_000125_05_border_crop.png,1,sensory_artifact,68.07079315185547,32.97853279113769,35.09226036071778,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,tp,3,images/dissertation_v1/ood/sensory_artifact/text_watermark/artifact_000053_00_text_watermark.png,1,sensory_artifact,67.99459838867188,32.97853279113769,35.01606559753419,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,tp,4,images/dissertation_v1/ood/modality_shift/oct_screenshot/oct_screenshot_000023.png,1,modality_shift,67.34770202636719,32.97853279113769,34.3691692352295,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,tp,5,images/dissertation_v1/ood/sensory_artifact/border_crop/artifact_000107_05_border_crop.png,1,sensory_artifact,65.62041473388672,32.97853279113769,32.64188194274903,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,fp,1,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000018.png,0,id,37.27877426147461,32.97853279113769,4.300241470336921,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,fp,2,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000143.png,0,id,36.74722671508789,32.97853279113769,3.7686939239502024,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,fp,3,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000041.png,0,id,35.40245056152344,32.97853279113769,2.4239177703857493,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,fp,4,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000139.png,0,id,34.78032302856445,32.97853279113769,1.801790237426765,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,fp,5,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000005.png,0,id,34.52577590942383,32.97853279113769,1.54724311828614,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,fn,1,images/dissertation_v1/ood/sensory_artifact/gaussian_noise/artifact_000106_06_gaussian_noise.png,1,sensory_artifact,19.92335700988769,32.97853279113769,-13.055175781249996,0,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,fn,2,images/dissertation_v1/ood/sensory_artifact/jpeg_compression/artifact_000138_07_jpeg_compression.png,1,sensory_artifact,20.013429641723636,32.97853279113769,-12.965103149414052,0,runs/patchcore_layer2/evaluation/scores.csv
