,colour_fundus,oct_screenshot,text_watermark,rectangle_annotation,arrow_annotation,composite_layout,blur_artifact,border_crop,gaussian_noise,jpeg_compression,cifar10_natural
colour_fundus,40,0,0,0,0,0,0,0,0,0,0
oct_screenshot,0,39,0,0,0,1,0,0,0,0,0
text_watermark,3,0,9,1,2,0,11,0,0,4,0
rectangle_annotation,1,0,0,17,12,0,0,0,0,0,0
arrow_annotation,2,0,0,10,18,0,0,0,0,0,0
composite_layout,0,0,0,0,0,29,0,0,0,0,1
blur_artifact,0,0,3,0,0,0,24,0,1,2,0
border_crop,1,4,0,0,1,0,1,23,0,0,0
gaussian_noise,1,1,2,1,0,7,1,0,16,0,1
jpeg_compression,1,0,3,1,2,0,17,1,0,5,0
cifar10_natural,0,2,0,0,0,5,0,1,0,0,92
