metric,class,value
accuracy,overall,0.7428571428571429
macro_f1,overall,0.6723545060951698
precision,colour_fundus,0.8163265306122449
recall,colour_fundus,1.0
f1,colour_fundus,0.898876404494382
support,colour_fundus,40.0
precision,oct_screenshot,0.8478260869565217
recall,oct_screenshot,0.975
f1,oct_screenshot,0.9069767441860466
support,oct_screenshot,40.0
precision,text_watermark,0.5294117647058824
recall,text_watermark,0.3
f1,text_watermark,0.3829787234042553
support,text_watermark,30.0
precision,rectangle_annotation,0.5666666666666667
recall,rectangle_annotation,0.5666666666666667
f1,rectangle_annotation,0.5666666666666667
support,rectangle_annotation,30.0
precision,arrow_annotation,0.5142857142857142
recall,arrow_annotation,0.6
f1,arrow_annotation,0.5538461538461538
support,arrow_annotation,30.0
precision,composite_layout,0.6904761904761905
recall,composite_layout,0.9666666666666667
f1,composite_layout,0.8055555555555556
support,composite_layout,30.0
precision,blur_artifact,0.4444444444444444
recall,blur_artifact,0.8
f1,blur_artifact,0.5714285714285714
support,blur_artifact,30.0
precision,border_crop,0.92
recall,border_crop,0.7666666666666667
f1,border_crop,0.8363636363636363
support,border_crop,30.0
precision,gaussian_noise,0.9411764705882353
recall,gaussian_noise,0.5333333333333333
f1,gaussian_noise,0.6808510638297872
support,gaussian_noise,30.0
precision,jpeg_compression,0.45454545454545453
recall,jpeg_compression,0.16666666666666666
f1,jpeg_compression,0.2439024390243902
support,jpeg_compression,30.0
precision,cifar10_natural,0.9787234042553191
recall,cifar10_natural,0.92
f1,cifar10_natural,0.9484536082474226
support,cifar10_natural,100.0
