,colour_fundus,oct_screenshot,text_watermark,rectangle_annotation,arrow_annotation,composite_layout,blur_artifact,border_crop,gaussian_noise,jpeg_compression,cifar10_natural
colour_fundus,40,0,0,0,0,0,0,0,0,0,0
oct_screenshot,0,40,0,0,0,0,0,0,0,0,0
text_watermark,0,0,25,0,0,0,0,0,0,5,0
rectangle_annotation,0,0,2,21,4,0,0,0,3,0,0
arrow_annotation,0,0,0,5,24,0,0,0,1,0,0
composite_layout,0,0,0,0,0,30,0,0,0,0,0
blur_artifact,0,0,0,0,1,0,26,0,0,3,0
border_crop,0,0,0,0,0,0,0,30,0,0,0
gaussian_noise,0,0,0,0,0,0,0,0,29,1,0
jpeg_compression,0,0,4,1,0,0,0,0,0,25,0
cifar10_natural,0,1,0,1,0,0,0,0,0,0,98
