method,split,status,feature_set,estimator,complexity,family_accuracy,family_argmax_accuracy,family_macro_f1,family_balanced_accuracy,unknown_threshold,known_coverage_at_gamma,unknown_rate_at_gamma,accuracy_excluding_unknown,train_seconds
image_statistics_logreg,val,ok,statistics,logistic_regression,1,0.9642857142857143,0.9642857142857143,0.9618880387976086,0.9736111111111111,0.5,0.9976190476190476,0.002380952380952381,0.9665871121718377,0.1318823999608867
image_statistics_logreg,test,ok,statistics,logistic_regression,1,0.9476190476190476,0.9476190476190476,0.9433457969995406,0.9647222222222224,0.5,1.0,0.0,0.9476190476190476,0.1318823999608867
global_feature_knn,val,ok,global,knn,3,0.9714285714285714,0.9714285714285714,0.9678054568294353,0.96,0.5,1.0,0.0,0.9714285714285714,0.022727500007022172
global_feature_knn,test,ok,global,knn,3,0.9761904761904762,0.9761904761904762,0.9740178031087817,0.9686111111111111,0.5,1.0,0.0,0.9761904761904762,0.022727500007022172
nearest_centroid,val,ok,global,nearest_centroid,2,0.819047619047619,0.819047619047619,0.7948161837692164,0.8186111111111112,0.5,0.9976190476190476,0.002380952380952381,0.8210023866348448,0.02858320000814274
nearest_centroid,test,ok,global,nearest_centroid,2,0.780952380952381,0.780952380952381,0.7664600137472782,0.8033333333333333,0.5,0.9976190476190476,0.002380952380952381,0.7828162291169452,0.02858320000814274
logistic_regression,val,ok,global,logistic_regression,3,0.9904761904761905,0.9904761904761905,0.9876989267096624,0.9866666666666667,0.5,1.0,0.0,0.9904761904761905,5.2736593000008725
logistic_regression,test,ok,global,logistic_regression,3,0.9928571428571429,0.9928571428571429,0.990115630837571,0.9899999999999999,0.5,1.0,0.0,0.9928571428571429,5.2736593000008725
linear_svm,val,ok,global,linear_svm,4,0.9904761904761905,0.9928571428571429,0.990774462414277,0.9886111111111111,0.5,0.9976190476190476,0.002380952380952381,0.9928400954653938,12.663541699992493
linear_svm,test,ok,global,linear_svm,4,0.9880952380952381,0.9928571428571429,0.9900756867155014,0.9872222222222223,0.5,0.9952380952380953,0.004761904761904762,0.992822966507177,12.663541699992493
random_forest_or_gradient_boosting,val,ok,global,random_forest,5,0.9904761904761905,0.9904761904761905,0.989658766413657,0.985,0.5,1.0,0.0,0.9904761904761905,7.4653078999836
random_forest_or_gradient_boosting,test,ok,global,random_forest,5,0.9904761904761905,0.9928571428571429,0.9911268855368235,0.9866666666666667,0.5,0.9976190476190476,0.002380952380952381,0.9928400954653938,7.4653078999836
feature_statistics_fusion,val,ok,fusion,logistic_regression,4,0.9904761904761905,0.9904761904761905,0.9876989267096624,0.9866666666666667,0.5,1.0,0.0,0.9904761904761905,4.1454373999731615
feature_statistics_fusion,test,ok,fusion,logistic_regression,4,0.9952380952380953,0.9952380952380953,0.9938696025652548,0.9933333333333333,0.5,1.0,0.0,0.9952380952380953,4.1454373999731615
hierarchical_classifier,val,ok,fusion,hierarchical_logistic,6,0.9904761904761905,0.9904761904761905,0.9876989267096624,0.9866666666666667,0.5,1.0,0.0,0.9904761904761905,6.4597519999952056
hierarchical_classifier,test,ok,fusion,hierarchical_logistic,6,0.9952380952380953,0.9952380952380953,0.9938696025652548,0.9933333333333333,0.5,1.0,0.0,0.9952380952380953,6.4597519999952056
