method,split,family,precision,recall,f1,support
image_statistics_logreg,val,modality_shift,0.8666666666666667,0.975,0.9176470588235294,80
image_statistics_logreg,val,sensory_artifact,0.9912663755458515,0.9458333333333333,0.9680170575692963,240
image_statistics_logreg,val,semantic_outlier,1.0,1.0,1.0,100
image_statistics_logreg,test,modality_shift,0.797979797979798,0.9875,0.88268156424581,80
image_statistics_logreg,test,sensory_artifact,0.990990990990991,0.9166666666666666,0.9523809523809523,240
image_statistics_logreg,test,semantic_outlier,1.0,0.99,0.9949748743718593,100
global_feature_knn,val,modality_shift,0.975609756097561,1.0,0.9876543209876543,80
global_feature_knn,val,sensory_artifact,0.96,1.0,0.9795918367346939,240
global_feature_knn,val,semantic_outlier,1.0,0.88,0.9361702127659575,100
global_feature_knn,test,modality_shift,0.975609756097561,1.0,0.9876543209876543,80
global_feature_knn,test,sensory_artifact,0.9676113360323887,0.9958333333333333,0.9815195071868584,240
global_feature_knn,test,semantic_outlier,1.0,0.91,0.9528795811518325,100
nearest_centroid,val,modality_shift,0.5789473684210527,0.825,0.6804123711340206,80
nearest_centroid,val,sensory_artifact,0.9425837320574163,0.8208333333333333,0.8775055679287305,240
nearest_centroid,val,semantic_outlier,0.84375,0.81,0.826530612244898,100
nearest_centroid,test,modality_shift,0.5158730158730159,0.8125,0.6310679611650487,80
nearest_centroid,test,sensory_artifact,0.9365079365079365,0.7375,0.8251748251748251,240
nearest_centroid,test,semantic_outlier,0.8269230769230769,0.86,0.8431372549019608,100
logistic_regression,val,modality_shift,0.975609756097561,1.0,0.9876543209876543,80
logistic_regression,val,sensory_artifact,0.9917355371900827,1.0,0.995850622406639,240
logistic_regression,val,semantic_outlier,1.0,0.96,0.9795918367346939,100
logistic_regression,test,modality_shift,0.975609756097561,1.0,0.9876543209876543,80
logistic_regression,test,sensory_artifact,0.995850622406639,1.0,0.997920997920998,240
logistic_regression,test,semantic_outlier,1.0,0.97,0.9847715736040609,100
linear_svm,val,modality_shift,0.9876543209876543,1.0,0.9937888198757764,80
linear_svm,val,sensory_artifact,0.991701244813278,0.9958333333333333,0.9937629937629938,240
linear_svm,val,semantic_outlier,1.0,0.97,0.9847715736040609,100
linear_svm,test,modality_shift,0.9876543209876543,1.0,0.9937888198757764,80
linear_svm,test,sensory_artifact,0.9916666666666667,0.9916666666666667,0.9916666666666667,240
linear_svm,test,semantic_outlier,1.0,0.97,0.9847715736040609,100
random_forest_or_gradient_boosting,val,modality_shift,1.0,0.975,0.9873417721518987,80
random_forest_or_gradient_boosting,val,sensory_artifact,0.9836065573770492,1.0,0.9917355371900827,240
random_forest_or_gradient_boosting,val,semantic_outlier,1.0,0.98,0.98989898989899,100
random_forest_or_gradient_boosting,test,modality_shift,1.0,1.0,1.0,80
random_forest_or_gradient_boosting,test,sensory_artifact,0.9876543209876543,1.0,0.9937888198757764,240
random_forest_or_gradient_boosting,test,semantic_outlier,1.0,0.96,0.9795918367346939,100
feature_statistics_fusion,val,modality_shift,0.975609756097561,1.0,0.9876543209876543,80
feature_statistics_fusion,val,sensory_artifact,0.9917355371900827,1.0,0.995850622406639,240
feature_statistics_fusion,val,semantic_outlier,1.0,0.96,0.9795918367346939,100
feature_statistics_fusion,test,modality_shift,0.9876543209876543,1.0,0.9937888198757764,80
feature_statistics_fusion,test,sensory_artifact,0.995850622406639,1.0,0.997920997920998,240
feature_statistics_fusion,test,semantic_outlier,1.0,0.98,0.98989898989899,100
hierarchical_classifier,val,modality_shift,0.975609756097561,1.0,0.9876543209876543,80
hierarchical_classifier,val,sensory_artifact,0.9917355371900827,1.0,0.995850622406639,240
hierarchical_classifier,val,semantic_outlier,1.0,0.96,0.9795918367346939,100
hierarchical_classifier,test,modality_shift,0.9876543209876543,1.0,0.9937888198757764,80
hierarchical_classifier,test,sensory_artifact,0.995850622406639,1.0,0.997920997920998,240
hierarchical_classifier,test,semantic_outlier,1.0,0.98,0.98989898989899,100
