scheme,scheme_label,artifact_type,severity_label,severity_value,sample_index,score,deployment_threshold,research_threshold
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,0,21.636310577392578,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,1,24.092111587524414,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,2,18.952133178710938,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,3,24.778728485107422,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,4,31.010034561157227,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,5,28.13847541809082,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,6,24.661087036132812,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,7,26.93785858154297,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,8,32.178672790527344,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,9,26.45001220703125,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,10,22.855792999267578,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_10,0.1,11,15.75277328491211,38.58238201141357,32.05723571777344
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,0,23.88627052307129,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,1,28.961851119995117,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,2,27.01383399963379,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,3,33.30552673339844,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,4,26.70126724243164,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,5,30.83342170715332,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,6,23.97087860107422,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,7,25.25912857055664,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,8,28.751293182373047,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,9,32.44934844970703,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,10,32.61293411254883,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_10,0.1,11,21.553586959838867,34.763293457031246,26.80457305908203
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,0,0.00018845222075469792,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,1,0.0013847879599779844,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,2,0.0014362727524712682,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,3,0.0010125242406502366,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,4,0.0006827728939242661,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,5,0.0006235509645193815,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,6,0.000774261134210974,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,7,0.00046204167301766574,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,8,0.00036566020571626723,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,9,0.0007337859715335071,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,10,0.0008837726782076061,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_10,0.1,11,0.0001052500301739201,0.0017387918487656,0.0001624995929887
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,0,1.0152465105056763,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,1,0.8341985940933228,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,2,0.8070024847984314,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,3,0.7720350623130798,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,4,0.543980598449707,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,5,0.8284331560134888,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,6,0.9214572310447693,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,7,0.6978641152381897,1.7220234692096696,0.6057427525520325
