method,split,status,feature_set,estimator,complexity,family_accuracy,family_argmax_accuracy,family_macro_f1,family_balanced_accuracy,unknown_threshold,known_coverage_at_gamma,unknown_rate_at_gamma,accuracy_excluding_unknown,train_seconds
image_statistics_logreg,val,ok,statistics,logistic_regression,1,0.9166666666666666,0.9166666666666666,0.9120889062026576,0.9411111111111111,0.5,1.0,0.0,0.9166666666666666,0.10277719981968403
global_feature_knn,val,ok,global,knn,3,0.9452380952380952,0.9452380952380952,0.9391478696741854,0.9486111111111111,0.5,1.0,0.0,0.9452380952380952,0.019674699753522873
nearest_centroid,val,ok,global,nearest_centroid,2,0.8285714285714286,0.830952380952381,0.8109767398758224,0.8422222222222223,0.5,0.9952380952380953,0.004761904761904762,0.8325358851674641,0.022830600384622812
logistic_regression,val,ok,global,logistic_regression,3,0.9642857142857143,0.9642857142857143,0.9600544593083588,0.9713888888888889,0.5,1.0,0.0,0.9642857142857143,5.315053400117904
linear_svm,val,ok,global,linear_svm,4,0.9833333333333333,0.9857142857142858,0.9845516802038542,0.9805555555555555,0.5,0.9976190476190476,0.002380952380952381,0.9856801909307876,9.107595699839294
random_forest_or_gradient_boosting,val,ok,global,random_forest,5,0.9809523809523809,0.9857142857142858,0.9924135873502963,0.985,0.5,0.9809523809523809,0.01904761904761905,1.0,4.596020100172609
feature_statistics_fusion,val,ok,fusion,logistic_regression,4,0.9928571428571429,0.9928571428571429,0.9924836011792534,0.9919444444444444,0.5,1.0,0.0,0.9928571428571429,4.23719900008291
hierarchical_classifier,val,ok,fusion,hierarchical_logistic,6,0.9928571428571429,0.9928571428571429,0.9924836011792534,0.9919444444444444,0.5,1.0,0.0,0.9928571428571429,5.849720899946988
image_statistics_logreg,test,ok,statistics,logistic_regression,1,0.9452380952380952,0.9452380952380952,0.9405389465860386,0.9625,0.5,1.0,0.0,0.9452380952380952,0.10277719981968403
global_feature_knn,test,ok,global,knn,3,0.9714285714285714,0.9714285714285714,0.967585746053655,0.9591666666666666,0.5,1.0,0.0,0.9714285714285714,0.019674699753522873
nearest_centroid,test,ok,global,nearest_centroid,2,0.8023809523809524,0.8047619047619048,0.7734623772608948,0.7875,0.5,0.9976190476190476,0.002380952380952381,0.8042959427207638,0.022830600384622812
logistic_regression,test,ok,global,logistic_regression,3,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,5.315053400117904
linear_svm,test,ok,global,linear_svm,4,0.9976190476190476,0.9976190476190476,0.9962545647492119,0.9966666666666667,0.5,1.0,0.0,0.9976190476190476,9.107595699839294
random_forest_or_gradient_boosting,test,ok,global,random_forest,5,0.9976190476190476,1.0,0.9979035639412999,0.9958333333333332,0.5,0.9976190476190476,0.002380952380952381,1.0,4.596020100172609
feature_statistics_fusion,test,ok,fusion,logistic_regression,4,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,4.23719900008291
hierarchical_classifier,test,ok,fusion,hierarchical_logistic,6,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,5.849720899946988
