method,split,family,precision,recall,f1,support
image_statistics_logreg,val,modality_shift,0.719626168224299,0.9625,0.8235294117647057,80
image_statistics_logreg,val,sensory_artifact,0.9812206572769953,0.8708333333333333,0.9227373068432672,240
image_statistics_logreg,val,semantic_outlier,0.99,0.99,0.99,100
global_feature_knn,val,modality_shift,0.8421052631578947,1.0,0.9142857142857143,80
global_feature_knn,val,sensory_artifact,0.9659574468085106,0.9458333333333333,0.9557894736842104,240
global_feature_knn,val,semantic_outlier,1.0,0.9,0.9473684210526316,100
nearest_centroid,val,modality_shift,0.69,0.8625,0.7666666666666667,80
nearest_centroid,val,sensory_artifact,0.965,0.8041666666666667,0.8772727272727274,240
nearest_centroid,val,semantic_outlier,0.7288135593220338,0.86,0.7889908256880733,100
logistic_regression,val,modality_shift,0.8695652173913043,1.0,0.9302325581395349,80
logistic_regression,val,sensory_artifact,0.9870689655172413,0.9541666666666667,0.9703389830508474,240
logistic_regression,val,semantic_outlier,1.0,0.96,0.9795918367346939,100
linear_svm,val,modality_shift,0.9876543209876543,1.0,0.9937888198757764,80
linear_svm,val,sensory_artifact,0.9794238683127572,0.9916666666666667,0.9855072463768116,240
linear_svm,val,semantic_outlier,1.0,0.95,0.9743589743589743,100
random_forest_or_gradient_boosting,val,modality_shift,1.0,1.0,1.0,80
random_forest_or_gradient_boosting,val,sensory_artifact,1.0,0.975,0.9873417721518987,240
random_forest_or_gradient_boosting,val,semantic_outlier,1.0,0.98,0.98989898989899,100
feature_statistics_fusion,val,modality_shift,0.9876543209876543,1.0,0.9937888198757764,80
feature_statistics_fusion,val,sensory_artifact,0.991701244813278,0.9958333333333333,0.9937629937629938,240
feature_statistics_fusion,val,semantic_outlier,1.0,0.98,0.98989898989899,100
hierarchical_classifier,val,modality_shift,0.9876543209876543,1.0,0.9937888198757764,80
hierarchical_classifier,val,sensory_artifact,0.991701244813278,0.9958333333333333,0.9937629937629938,240
hierarchical_classifier,val,semantic_outlier,1.0,0.98,0.98989898989899,100
image_statistics_logreg,test,modality_shift,0.7878787878787878,0.975,0.8715083798882681,80
image_statistics_logreg,test,sensory_artifact,0.9909502262443439,0.9125,0.9501084598698482,240
image_statistics_logreg,test,semantic_outlier,1.0,1.0,1.0,100
global_feature_knn,test,modality_shift,0.9753086419753086,0.9875,0.9813664596273292,80
global_feature_knn,test,sensory_artifact,0.96,1.0,0.9795918367346939,240
global_feature_knn,test,semantic_outlier,1.0,0.89,0.9417989417989417,100
nearest_centroid,test,modality_shift,0.5514018691588785,0.7375,0.6310160427807486,80
nearest_centroid,test,sensory_artifact,0.908256880733945,0.825,0.8646288209606987,240
nearest_centroid,test,semantic_outlier,0.851063829787234,0.8,0.8247422680412372,100
logistic_regression,test,modality_shift,1.0,1.0,1.0,80
logistic_regression,test,sensory_artifact,1.0,1.0,1.0,240
logistic_regression,test,semantic_outlier,1.0,1.0,1.0,100
linear_svm,test,modality_shift,0.9876543209876543,1.0,0.9937888198757764,80
linear_svm,test,sensory_artifact,1.0,1.0,1.0,240
linear_svm,test,semantic_outlier,1.0,0.99,0.9949748743718593,100
random_forest_or_gradient_boosting,test,modality_shift,1.0,0.9875,0.9937106918238994,80
random_forest_or_gradient_boosting,test,sensory_artifact,1.0,1.0,1.0,240
random_forest_or_gradient_boosting,test,semantic_outlier,1.0,1.0,1.0,100
feature_statistics_fusion,test,modality_shift,1.0,1.0,1.0,80
feature_statistics_fusion,test,sensory_artifact,1.0,1.0,1.0,240
feature_statistics_fusion,test,semantic_outlier,1.0,1.0,1.0,100
hierarchical_classifier,test,modality_shift,1.0,1.0,1.0,80
hierarchical_classifier,test,sensory_artifact,1.0,1.0,1.0,240
hierarchical_classifier,test,semantic_outlier,1.0,1.0,1.0,100
