method,split,subtype,precision,recall,f1,support
image_statistics_logreg,val,colour_fundus,1.0,1.0,1.0,40
image_statistics_logreg,val,oct_screenshot,0.8695652173913043,1.0,0.9302325581395349,40
image_statistics_logreg,val,text_watermark,0.5,0.7,0.5833333333333334,30
image_statistics_logreg,val,rectangle_annotation,0.8,0.8,0.8000000000000002,30
image_statistics_logreg,val,arrow_annotation,0.7666666666666667,0.7666666666666667,0.7666666666666667,30
image_statistics_logreg,val,composite_layout,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
image_statistics_logreg,val,blur_artifact,0.8620689655172413,0.8333333333333334,0.847457627118644,30
image_statistics_logreg,val,border_crop,0.9230769230769231,0.8,0.8571428571428571,30
image_statistics_logreg,val,gaussian_noise,0.8275862068965517,0.8,0.8135593220338982,30
image_statistics_logreg,val,jpeg_compression,0.5,0.23333333333333334,0.3181818181818182,30
image_statistics_logreg,val,cifar10_natural,0.9519230769230769,0.99,0.9705882352941176,100
global_feature_knn,val,colour_fundus,0.7407407407407407,1.0,0.851063829787234,40
global_feature_knn,val,oct_screenshot,0.975609756097561,1.0,0.9876543209876543,40
global_feature_knn,val,text_watermark,0.2,0.03333333333333333,0.05714285714285715,30
global_feature_knn,val,rectangle_annotation,0.0,0.0,0.0,30
global_feature_knn,val,arrow_annotation,0.5,0.13333333333333333,0.2105263157894737,30
global_feature_knn,val,composite_layout,1.0,1.0,1.0,30
global_feature_knn,val,blur_artifact,0.19298245614035087,0.7333333333333333,0.3055555555555555,30
global_feature_knn,val,border_crop,1.0,0.9666666666666667,0.983050847457627,30
global_feature_knn,val,gaussian_noise,0.3409090909090909,0.5,0.40540540540540543,30
global_feature_knn,val,jpeg_compression,0.0,0.0,0.0,30
global_feature_knn,val,cifar10_natural,1.0,0.9,0.9473684210526316,100
nearest_centroid,val,colour_fundus,0.4367816091954023,0.95,0.5984251968503937,40
nearest_centroid,val,oct_screenshot,1.0,1.0,1.0,40
nearest_centroid,val,text_watermark,0.2,0.06666666666666667,0.1,30
nearest_centroid,val,rectangle_annotation,0.3,0.1,0.15,30
nearest_centroid,val,arrow_annotation,0.20588235294117646,0.23333333333333334,0.21874999999999997,30
nearest_centroid,val,composite_layout,0.9,0.9,0.9,30
nearest_centroid,val,blur_artifact,0.19230769230769232,0.3333333333333333,0.2439024390243902,30
nearest_centroid,val,border_crop,0.5681818181818182,0.8333333333333334,0.6756756756756758,30
nearest_centroid,val,gaussian_noise,0.3333333333333333,0.23333333333333334,0.27450980392156865,30
nearest_centroid,val,jpeg_compression,0.25,0.06666666666666667,0.10526315789473685,30
nearest_centroid,val,cifar10_natural,0.9642857142857143,0.81,0.8804347826086957,100
logistic_regression,val,colour_fundus,0.7017543859649122,1.0,0.8247422680412371,40
logistic_regression,val,oct_screenshot,1.0,1.0,1.0,40
logistic_regression,val,text_watermark,0.4444444444444444,0.4,0.4210526315789474,30
logistic_regression,val,rectangle_annotation,0.3617021276595745,0.5666666666666667,0.4415584415584416,30
logistic_regression,val,arrow_annotation,0.6923076923076923,0.3,0.41860465116279066,30
logistic_regression,val,composite_layout,1.0,1.0,1.0,30
logistic_regression,val,blur_artifact,0.5172413793103449,0.5,0.5084745762711865,30
logistic_regression,val,border_crop,1.0,1.0,1.0,30
logistic_regression,val,gaussian_noise,0.8461538461538461,0.7333333333333333,0.7857142857142856,30
logistic_regression,val,jpeg_compression,0.4090909090909091,0.3,0.34615384615384615,30
logistic_regression,val,cifar10_natural,0.98989898989899,0.98,0.9849246231155778,100
linear_svm,val,colour_fundus,1.0,1.0,1.0,40
linear_svm,val,oct_screenshot,1.0,1.0,1.0,40
linear_svm,val,text_watermark,0.3902439024390244,0.5333333333333333,0.4507042253521127,30
linear_svm,val,rectangle_annotation,0.3103448275862069,0.3,0.3050847457627119,30
linear_svm,val,arrow_annotation,0.4666666666666667,0.23333333333333334,0.31111111111111117,30
linear_svm,val,composite_layout,1.0,0.9333333333333333,0.9655172413793104,30
linear_svm,val,blur_artifact,0.36363636363636365,0.4,0.380952380952381,30
linear_svm,val,border_crop,0.8285714285714286,0.9666666666666667,0.8923076923076922,30
linear_svm,val,gaussian_noise,0.3181818181818182,0.4666666666666667,0.3783783783783784,30
linear_svm,val,jpeg_compression,0.1111111111111111,0.1,0.10526315789473685,30
linear_svm,val,cifar10_natural,1.0,0.88,0.9361702127659575,100
random_forest_or_gradient_boosting,val,colour_fundus,0.6896551724137931,1.0,0.8163265306122449,40
random_forest_or_gradient_boosting,val,oct_screenshot,0.975609756097561,1.0,0.9876543209876543,40
random_forest_or_gradient_boosting,val,text_watermark,0.5,0.23333333333333334,0.3181818181818182,30
random_forest_or_gradient_boosting,val,rectangle_annotation,0.4878048780487805,0.6666666666666666,0.5633802816901409,30
random_forest_or_gradient_boosting,val,arrow_annotation,0.47058823529411764,0.26666666666666666,0.3404255319148936,30
random_forest_or_gradient_boosting,val,composite_layout,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,val,blur_artifact,0.4375,0.4666666666666667,0.45161290322580644,30
random_forest_or_gradient_boosting,val,border_crop,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,val,gaussian_noise,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,val,jpeg_compression,1.0,0.9333333333333333,0.9655172413793104,30
random_forest_or_gradient_boosting,val,cifar10_natural,1.0,0.99,0.9949748743718593,100
feature_statistics_fusion,val,colour_fundus,0.9090909090909091,1.0,0.9523809523809523,40
feature_statistics_fusion,val,oct_screenshot,1.0,1.0,1.0,40
feature_statistics_fusion,val,text_watermark,0.6666666666666666,0.7333333333333333,0.6984126984126984,30
feature_statistics_fusion,val,rectangle_annotation,0.6578947368421053,0.8333333333333334,0.7352941176470588,30
feature_statistics_fusion,val,arrow_annotation,0.64,0.5333333333333333,0.5818181818181818,30
feature_statistics_fusion,val,composite_layout,1.0,1.0,1.0,30
feature_statistics_fusion,val,blur_artifact,0.8666666666666667,0.8666666666666667,0.8666666666666667,30
feature_statistics_fusion,val,border_crop,1.0,0.9666666666666667,0.983050847457627,30
feature_statistics_fusion,val,gaussian_noise,0.9230769230769231,0.8,0.8571428571428571,30
feature_statistics_fusion,val,jpeg_compression,0.5357142857142857,0.5,0.5172413793103449,30
feature_statistics_fusion,val,cifar10_natural,1.0,0.97,0.9847715736040609,100
hierarchical_classifier,val,colour_fundus,0.975609756097561,1.0,0.9876543209876543,40
hierarchical_classifier,val,oct_screenshot,1.0,1.0,1.0,40
hierarchical_classifier,val,text_watermark,0.8333333333333334,0.8333333333333334,0.8333333333333334,30
hierarchical_classifier,val,rectangle_annotation,0.7666666666666667,0.7666666666666667,0.7666666666666667,30
hierarchical_classifier,val,arrow_annotation,0.8333333333333334,0.8333333333333334,0.8333333333333334,30
